datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
10/6/2023 4:00:00 AM,10/6/2023 12:00:00 AM,1,PJM-RTO,,,ZONE,,20.98,21.284320,0.227086,0.077234,True,1
10/6/2023 5:00:00 AM,10/6/2023 1:00:00 AM,1,PJM-RTO,,,ZONE,,19.40,19.472430,-0.004559,0.076990,True,1
10/6/2023 6:00:00 AM,10/6/2023 2:00:00 AM,1,PJM-RTO,,,ZONE,,17.80,18.063099,0.207948,0.055151,True,1
10/6/2023 7:00:00 AM,10/6/2023 3:00:00 AM,1,PJM-RTO,,,ZONE,,17.24,17.607010,0.310196,0.056814,True,1
10/6/2023 8:00:00 AM,10/6/2023 4:00:00 AM,1,PJM-RTO,,,ZONE,,18.04,18.391899,0.294921,0.056978,True,1
10/6/2023 9:00:00 AM,10/6/2023 5:00:00 AM,1,PJM-RTO,,,ZONE,,22.89,24.008714,0.979545,0.139169,True,1
10/6/2023 10:00:00 AM,10/6/2023 6:00:00 AM,1,PJM-RTO,,,ZONE,,31.46,33.428773,1.675769,0.293005,True,1
10/6/2023 11:00:00 AM,10/6/2023 7:00:00 AM,1,PJM-RTO,,,ZONE,,30.35,31.381621,0.825971,0.205651,True,1
10/6/2023 12:00:00 PM,10/6/2023 8:00:00 AM,1,PJM-RTO,,,ZONE,,30.02,30.463470,0.196854,0.246616,True,1
10/6/2023 1:00:00 PM,10/6/2023 9:00:00 AM,1,PJM-RTO,,,ZONE,,30.96,32.371974,1.221534,0.190441,True,1
10/6/2023 2:00:00 PM,10/6/2023 10:00:00 AM,1,PJM-RTO,,,ZONE,,30.32,32.133069,1.555224,0.257845,True,1
10/6/2023 3:00:00 PM,10/6/2023 11:00:00 AM,1,PJM-RTO,,,ZONE,,30.25,31.942972,1.367611,0.325361,True,1
10/6/2023 4:00:00 PM,10/6/2023 12:00:00 PM,1,PJM-RTO,,,ZONE,,29.35,31.586471,1.892268,0.344203,True,1
10/6/2023 5:00:00 PM,10/6/2023 1:00:00 PM,1,PJM-RTO,,,ZONE,,31.01,33.257380,1.869504,0.377876,True,1
10/6/2023 6:00:00 PM,10/6/2023 2:00:00 PM,1,PJM-RTO,,,ZONE,,33.33,34.026035,0.398602,0.297433,True,1
10/6/2023 7:00:00 PM,10/6/2023 3:00:00 PM,1,PJM-RTO,,,ZONE,,33.96,34.737844,0.464501,0.313343,True,1
10/6/2023 8:00:00 PM,10/6/2023 4:00:00 PM,1,PJM-RTO,,,ZONE,,34.14,36.136109,1.568021,0.428088,True,1
10/6/2023 9:00:00 PM,10/6/2023 5:00:00 PM,1,PJM-RTO,,,ZONE,,35.26,38.375323,2.573709,0.541614,True,1
10/6/2023 10:00:00 PM,10/6/2023 6:00:00 PM,1,PJM-RTO,,,ZONE,,37.16,39.594433,1.838172,0.596260,True,1
10/6/2023 11:00:00 PM,10/6/2023 7:00:00 PM,1,PJM-RTO,,,ZONE,,37.45,39.147469,1.180383,0.517086,True,1
10/7/2023 12:00:00 AM,10/6/2023 8:00:00 PM,1,PJM-RTO,,,ZONE,,31.21,32.069985,0.609658,0.250327,True,1
10/7/2023 1:00:00 AM,10/6/2023 9:00:00 PM,1,PJM-RTO,,,ZONE,,26.41,26.929974,0.302994,0.216980,True,1
10/7/2023 2:00:00 AM,10/6/2023 10:00:00 PM,1,PJM-RTO,,,ZONE,,23.71,24.347121,0.380304,0.256817,True,1
10/7/2023 3:00:00 AM,10/6/2023 11:00:00 PM,1,PJM-RTO,,,ZONE,,21.63,21.881769,0.125054,0.126714,True,1
10/7/2023 4:00:00 AM,10/7/2023 12:00:00 AM,1,PJM-RTO,,,ZONE,,21.50,21.833480,0.159483,0.173997,True,1
10/7/2023 5:00:00 AM,10/7/2023 1:00:00 AM,1,PJM-RTO,,,ZONE,,23.22,22.920948,-0.385242,0.086190,True,1
10/7/2023 6:00:00 AM,10/7/2023 2:00:00 AM,1,PJM-RTO,,,ZONE,,19.60,20.056717,0.452602,0.004114,True,1
10/7/2023 7:00:00 AM,10/7/2023 3:00:00 AM,1,PJM-RTO,,,ZONE,,17.82,18.378811,0.522847,0.035964,True,1
10/7/2023 8:00:00 AM,10/7/2023 4:00:00 AM,1,PJM-RTO,,,ZONE,,17.59,18.191952,0.577157,0.024795,True,1
10/7/2023 9:00:00 AM,10/7/2023 5:00:00 AM,1,PJM-RTO,,,ZONE,,19.68,20.814803,1.122035,0.012768,True,1
10/7/2023 10:00:00 AM,10/7/2023 6:00:00 AM,1,PJM-RTO,,,ZONE,,24.74,24.800641,0.010492,0.050149,True,1
10/7/2023 11:00:00 AM,10/7/2023 7:00:00 AM,1,PJM-RTO,,,ZONE,,25.86,25.814918,-0.132534,0.087453,True,1
10/7/2023 12:00:00 PM,10/7/2023 8:00:00 AM,1,PJM-RTO,,,ZONE,,27.50,27.839873,0.234854,0.105019,True,1
